 @ 0 @ :0
[MIDF] 2019-7-3 0:00:00:204 @ "alphaconverter: NEW DAY - 3"
[MIDF] 2019-7-3 0:00:00:206 @ "current DaylistID: 1004"
[MIDF] 2019-7-3 0:00:00:216 @ "*******New Day Log*********"
[MIDF] 2019-7-3 0:00:35:790 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-3 0:01:35:789 @ "Attempted to reconnect to SPM 10"
[MIDF] 2019-7-3 0:02:40:597 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-3 0:03:45:570 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-3 0:04:45:748 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-3 0:05:45:710 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-3 0:06:50:742 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-3 0:07:50:640 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-3 0:08:50:682 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-3 0:09:50:791 @ "Attempted to reconnect to SPM 10"
[MIDF] 2019-7-3 0:09:55:577 @ "Attempted to reconnect to SPM 14"
[MIDF] 2019-7-3 0:10:55:568 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-3 0:11:55:708 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-3 0:12:55:653 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-3 0:14:00:710 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-3 0:15:00:688 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-3 0:16:00:674 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-3 0:17:05:748 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-3 0:18:05:772 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-3 0:19:05:783 @ "Attempted to reconnect to SPM 10"
[MIDF] 2019-7-3 0:20:10:678 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-3 0:21:10:628 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-3 0:22:10:744 @ "Attempted to reconnect to SPM 10"
[MIDF] 2019-7-3 0:23:15:760 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-3 0:24:20:548 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-3 0:25:25:651 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-3 0:26:30:570 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-3 0:27:35:548 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-3 0:28:40:797 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-3 0:29:45:738 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-3 0:30:45:640 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-3 0:31:45:721 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-3 0:32:50:628 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-3 0:33:50:640 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-3 0:34:50:675 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-3 0:35:55:708 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-3 0:36:55:608 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-3 0:37:55:675 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-3 0:39:00:737 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-3 0:40:00:588 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-3 0:41:00:813 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-3 0:42:05:757 @ "Attempted to reconnect to SPM 10"
[MIDF] 2019-7-3 0:43:10:728 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-3 0:44:15:722 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-3 0:45:20:758 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-3 0:46:20:748 @ "Attempted to reconnect to SPM 10"
[MIDF] 2019-7-3 0:47:25:773 @ "Attempted to reconnect to SPM 10"
[MIDF] 2019-7-3 0:48:30:678 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-3 0:49:35:570 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-3 0:50:40:585 @ "Attempted to reconnect to SPM 10"
[MIDF] 2019-7-3 0:51:45:747 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-3 0:52:45:750 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-3 0:53:50:747 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-3 0:54:55:588 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-3 0:55:55:588 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-3 0:58:05:768 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-3 0:59:10:738 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-3 1:00:15:688 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-3 1:01:15:630 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-3 1:02:15:752 @ "Attempted to reconnect to SPM 10"
[MIDF] 2019-7-3 1:03:20:748 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-3 1:04:20:660 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-3 1:05:25:609 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-3 1:06:30:708 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-3 1:07:30:688 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-3 1:08:35:668 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-3 1:09:35:600 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-3 1:10:35:678 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-3 1:11:40:608 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-3 1:12:40:760 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-3 1:13:45:728 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-3 1:14:45:692 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-3 1:15:50:672 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-3 1:16:50:768 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-3 1:17:55:558 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-3 1:19:00:750 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-3 1:20:05:663 @ "Attempted to reconnect to SPM 10"
[MIDF] 2019-7-3 1:21:10:739 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-3 1:22:10:768 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-3 1:23:15:755 @ "Attempted to reconnect to SPM 10"
[MIDF] 2019-7-3 1:23:20:692 @ "Attempted to reconnect to SPM 14"
[MIDF] 2019-7-3 1:24:20:588 @ "Attempted to reconnect to SPM 10"
[MIDF] 2019-7-3 1:25:25:710 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-3 1:26:30:614 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-3 1:27:30:600 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-3 1:28:30:689 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-3 1:29:35:620 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-3 1:30:40:672 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-3 1:31:40:598 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-3 1:32:45:730 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-3 1:33:45:768 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-3 1:34:50:698 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-3 1:35:55:738 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-3 1:37:00:688 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-3 1:38:05:810 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-3 1:39:10:647 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-3 1:40:10:648 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-3 1:41:15:624 @ "Attempted to reconnect to SPM 10"
[MIDF] 2019-7-3 1:42:20:731 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-3 1:43:25:630 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-3 1:44:30:630 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-3 1:45:30:580 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-3 1:46:35:758 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-3 1:47:35:687 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-3 1:48:35:618 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-3 1:49:45:547 @ "Attempted to reconnect to SPM 10"
[MIDF] 2019-7-3 1:50:50:618 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-3 1:51:50:658 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-3 1:52:50:741 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-3 1:53:50:590 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-3 1:54:55:694 @ "Attempted to reconnect to SPM 10"
[MIDF] 2019-7-3 1:56:00:650 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-3 1:57:00:648 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-3 1:58:05:710 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-3 1:59:05:770 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-3 2:00:10:608 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-3 2:01:15:710 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-3 2:02:15:770 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-3 2:03:20:813 @ "Attempted to reconnect to SPM 10"
[MIDF] 2019-7-3 2:04:25:610 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-3 2:05:25:718 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-3 2:06:30:617 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-3 2:07:30:778 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-3 2:08:30:587 @ "Attempted to reconnect to SPM 10"
[MIDF] 2019-7-3 2:09:35:748 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-3 2:10:35:670 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-3 2:11:35:668 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-3 2:12:35:621 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-3 2:13:35:550 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-3 2:14:35:581 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-3 2:15:40:768 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-3 2:16:45:743 @ "Attempted to reconnect to SPM 10"
[MIDF] 2019-7-3 2:16:50:566 @ "Attempted to reconnect to SPM 14"
[MIDF] 2019-7-3 2:17:50:768 @ "Attempted to reconnect to SPM 11"
